hash,commit_hash,author,date,message,lines_added,lines_deleted,files_changed
9ebebdef98a6aacfbedcf2ca61ba0eaecc2563f4,9ebebde,Colin Watson,2025-02-17 00:41:30,Regenerate test certificates,279,272,12
507409661335bd3dd8a7e39f04d07b42e519becc,5074096,Colin Watson,2025-02-17 00:39:07,Add CA constraint to test CA,4,0,1
1b7c37ef4e3db003cc52f09da9ab6b947054e245,1b7c37e,Nate Prewitt,2025-02-13 08:49:49 -0800,Merge pull request #6529 from anupam-arista/patch-1,0,0,0
5d31ddbf7b3f512dd3c61952d2c16e980a2b7dc1,5d31ddb,anupam-arista,2025-02-12 17:58:07 +0530,Update src/requests/models.py,1,0,1
a2fd25ff34b66ef71b54dfc90e09a4e4152357f6,a2fd25f,anupam-arista,2025-02-11 21:28:59 +0530,Update models.py,1,2,1
d96f9982a276c73ab078b255c94397cf4d7f6cc2,d96f998,anupam-arista,2025-02-11 21:25:29 +0530,Update src/requests/models.py,3,1,1
b25f2b5ec2a113d4b3a1e6311f617a015f4155f3,b25f2b5,anupam-arista,2025-02-11 07:49:26 +0530,Merge branch 'psf:main' into patch-1,0,0,0
f761e74a4d50d2e88d9e30e660494b36c9d630f8,f761e74,Nate Prewitt,2025-02-10 13:13:26 -0800,Merge pull request #6880 from jakobheine/td/remove-urlrequired-from-docs,0,0,0
f2a6ae5e3267f64c47059fd64e43c02e0891f523,f2a6ae5,Nate Prewitt,2025-02-03 08:58:57 -0800,Merge pull request #6883 from psf/dependabot/github_actions/actions/setup-python,0,0,0
11f63a330bc7b9026086e3d259f400f9c702b542,11f63a3,dependabot[bot],2025-02-03 16:27:40,Bump actions/setup-python from 5.3.0 to 5.4.0,4,4,2
e361622fae03f08b16c48a0a1414a718d9d45d25,e361622,jakobheine,2025-02-01 19:42:06,docs(exceptions): Remove unused exception URLRequired from documentation,0,1,1
fe0583ba49cf162e1a7fe35ae05de6a62b8372fa,fe0583b,Nate Prewitt,2025-01-27 09:39:35 -0800,Merge pull request #6875 from psf/dependabot/github_actions/github/codeql-action,0,0,0
8c36da656df15111c423975381f523e0b9db7326,8c36da6,dependabot[bot],2025-01-27 16:56:12,Bump github/codeql-action from 3.27.0 to 3.28.5,3,3,1
b653d80ded3680dc3780557ded01e23074f7e6a4,b653d80,anupam-arista,2024-12-13 05:08:45 +0530,Merge branch 'psf:main' into patch-1,0,0,0
23540c93cac97c763fe59e843a08fa2825aa80fd,23540c9,Ian Stapleton Cordasco,2024-11-10 10:18:36 -0600,Merge pull request #6824 from psf/nateprewitt-patch-1,0,0,0
ad959acfcfa77c3d9360a5f62df4a4789eed0fb3,ad959ac,Nate Prewitt,2024-11-09 22:50:30 -0700,Remove old macOS runners,0,9,1
a6cf27a77f6f5dd6116096e95c16e7c1a616b419,a6cf27a,Nate Prewitt,2024-11-02 13:13:02 -0700,Update vulnerability disclosure process (#6820),6,120,2
ed0b1b58023276adc66615f3af9bee22d0d16e1b,ed0b1b5,Nate Prewitt,2024-10-28 10:24:23 -0600,Merge pull request #6817 from psf/dependabot/github_actions/actions/setup-python,0,0,0
1f16cffa436ca8635a4660199a055c6beb171a07,1f16cff,Nate Prewitt,2024-10-28 10:24:12 -0600,Merge pull request #6818 from psf/dependabot/github_actions/github/codeql-action,0,0,0
9787d0c09c0d771b97cb5d333f71e988b43d9ffc,9787d0c,dependabot[bot],2024-10-28 16:05:20,Bump github/codeql-action from 3.26.0 to 3.27.0,3,3,1
26664fa57853e97717b0a72244d35eeadaac48d9,26664fa,dependabot[bot],2024-10-28 16:05:11,Bump actions/setup-python from 5.2.0 to 5.3.0,4,4,2
7335bbf480adc8e6aa88feb2022797a549a00aa3,7335bbf,Nate Prewitt,2024-09-30 10:32:21 -0700,Merge pull request #6803 from psf/dependabot/github_actions/actions/checkout-4.2,0,0,0
0bff2d94e624651d02756e37e50af3cc1569abcf,0bff2d9,dependabot[bot],2024-09-30 16:34:20,Bump actions/checkout from 4.1.0 to 4.2.0,5,5,3
1ae6fc3137a11e11565ed22436aa1e77277ac98c,1ae6fc3,Ian Stapleton Cordasco,2024-09-19 06:19:03 -0500,Merge pull request #6802 from graingert/3.13,0,0,0
5984296b6a4cea1b20a6747127c335d95595e7d9,5984296,Thomas Grainger,2024-09-18 19:40:02 +0100,Update tox.ini,1,1,1
f519bbae3346b4bf0ff866e0659b7efbcf016eb1,f519bba,Thomas Grainger,2024-09-18 19:14:19 +0100,add trove classifier for 3.13,1,0,1
314e7c9c701ddbeb6c26ae357a132045709d47f1,314e7c9,Thomas Grainger,2024-09-18 16:36:43 +0100,upgrade to pytest-httpbin 2.1.0 final,2,2,2
92f10cec5b3223e90c186b7a04306564cde050dc,92f10ce,Thomas Grainger,2024-09-18 15:04:53 +0100,upgrade to pytest-httpbin 2.1.0rc1,2,2,2
83e67c448567cb78490e709925cc335567f656dd,83e67c4,Thomas Grainger,2024-09-18 15:04:08 +0100,use allow-prereleases: true instead of 3.13-dev,2,1,1
0f5ef1be8cb33a28dec67728b8c7220b9c58d366,0f5ef1b,Thomas Grainger,2024-09-18 15:03:08 +0100,Merge branch 'main' of github.com:psf/requests into 3.13,0,0,0
f12ccbef6d6b95564da8d22e280d28c39d53f0e9,f12ccbe,Nate Prewitt,2024-09-02 10:37:44 -0700,Merge pull request #6797 from psf/dependabot/github_actions/actions/setup-python,0,0,0
173890a48e9f064f0c034edf45109279d1d90a94,173890a,dependabot[bot],2024-09-02 16:56:26,Bump actions/setup-python from 5.1.0 to 5.2.0,4,4,2
a3ce6f007597f14029e6b6f54676c34196aa050e,a3ce6f0,Nate Prewitt,2024-08-12 09:54:11 -0700,Merge pull request #6787 from psf/dependabot/github_actions/github/codeql-action,0,0,0
877892e67e22e25bd3cb0dec780bf45c0e67026e,877892e,dependabot[bot],2024-08-12 16:23:16,Bump github/codeql-action from 3.25.0 to 3.26.0,3,3,1
79b74ef704dc0d804937c0d015c5e9c3b02b79bd,79b74ef,Nate Prewitt,2024-07-29 18:44:13 -0700,Merge pull request #6757 from nateprewitt/urllib-1.x-tests,0,0,0
15e1f17bb6f3f978787dd23da0268388148bc3d5,15e1f17,Branch Vincent,2024-07-28 20:49:48 -0700,remove setuptools test command,0,26,1
01353d3b4afe3afa838f8f5c08e5f30a5b50cb05,01353d3,Nate Prewitt,2024-07-23 04:28:03 -0700,Invert major version check,7,7,3
4e383642a9ebb82a67eaeed199d0fbbb31991e3c,4e38364,Nate Prewitt,2024-07-18 09:43:49 -0700,Add conditional string encoding based on urllib3 major version,40,18,3
f8aa36b92d95e6d2f133489f39f9d5c2412f1bd9,f8aa36b,Nate Prewitt,2024-07-01 18:08:04 -0700,Test on urllib3 1.26.x,20,0,1
06d2a384418ed86effa2d804d32d4705b91c37eb,06d2a38,anupam-arista,2024-07-01 10:46:41 +0530,Merge branch 'psf:main' into patch-1,0,0,0
0e322af87745eff34caffe4df68456ebc20d9068,0e322af,Nate Prewitt,2024-05-29 08:36:10 -0700,v2.32.3,6,4,2
e18879932287c2bf4bcee4ddf6ccb8a69b6fc656,e188799,Nate Prewitt,2024-05-29 08:23:39 -0700,Don't create default SSLContext if ssl module isn't present (#6724),19,5,1
145b5399486b56e00250204f033441f3fdf2f3c9,145b539,Nate Prewitt,2024-05-24 14:37:06 -0700,Merge pull request #6716 from sigmavirus24/bug/6715,0,0,0
b1d73ddb509a3a2d3e10744e85f9cdebdbde90f0,b1d73dd,Nate Prewitt,2024-05-24 09:00:52 -0700,Don't use default SSLContext with custom poolmanager kwargs,6,2,1
6badbac6e0d6b5a53872f26401761ad37a9002b8,6badbac,Nate Prewitt,2024-05-22 14:43:57 -0600,Update HISTORY.md,2,2,1
2e1452234d8a3240aa27fc5fa5db93d53d799c25,2e14522,Nate Prewitt,2024-05-23 11:51:07 -0700,Start testing on 3.13 beta,1,1,1
a62a2d35d918baa8e793f7aa4fb41527644dfca5,a62a2d3,Ian Stapleton Cordasco,2024-05-22 06:51:48 -0500,Allow for overriding of specific pool key params,76,9,2
88dce9d854797c05d0ff296b70e0430535ef8aaf,88dce9d,Nate Prewitt,2024-05-21 11:49:22 -0700,v2.32.2,16,2,2
c98e4d133ef29c46a9b68cd783087218a8075e05,c98e4d1,Nate Prewitt,2024-05-21 09:41:18 -0700,Merge pull request #6710 from nateprewitt/api_rename,0,0,0
92075b330a30b9883f466a43d3f7566ab849f91b,92075b3,Nate Prewitt,2024-05-21 09:28:30 -0700,Add deprecation warning,10,0,1
aa1461b68aa73e2f6ec0e78c8853b635c76fd099,aa1461b,Nate Prewitt,2024-05-21 05:40:52 -0700,Move _get_connection to get_connection_with_tls_context,21,6,1
970e8cec988421bd43da57350723b05c8ce8dc7e,970e8ce,Nate Prewitt,2024-05-20 15:02:29 -0700,v2.32.1,10,2,3
d6ebc4a2f1f68b7e355fb7e4dd5ffc0845547f9f,d6ebc4a,Nate Prewitt,2024-05-20 08:46:49 -0700,v2.32.0,48,2,2
9a40d1277807f0a4f26c9a37eea8ec90faa8aadc,9a40d12,agubelu,2024-05-15 22:07:26 +0200,Avoid reloading root certificates to improve concurrent performance (#6667),28,18,1
0c030f78d24f29a459dbf39b28b4cc765e2153d7,0c030f7,Ian Stapleton Cordasco,2024-05-14 19:15:19 -0500,Merge pull request #6702 from nateprewitt/no_char_detection,0,0,0
555b870eb19d497ddb67042645420083ec8efb02,555b870,Nate Prewitt,2024-05-14 14:59:26 -0700,Allow character detection dependencies to be optional in post-packaging steps,60,23,5
d6dded3f00afcf56a7e866cb0732799045301eb0,d6dded3,Ian Stapleton Cordasco,2024-05-12 16:33:47 -0500,Merge pull request #6700 from franekmagiera/update-redirect-to-invalid-uri-test,0,0,0
bf24b7d8d17da34be720c19e5978b2d3bf94a53b,bf24b7d,franekmagiera,2024-05-12 22:08:24 +0200,Use an invalid URI that will not cause httpbin to throw 500,1,1,1
2d5f54779ad174035c5437b3b3c1146b0eaf60fe,2d5f547,Nate Prewitt,2024-04-23 11:50:19 -0600,Pin 3.8 and 3.9 runners back to macos-13 (#6688),9,0,1
f1bb07d39b74d6444e333879f8b8a3d9dd4d2311,f1bb07d,Nate Prewitt,2024-04-15 11:01:39 -0600,Merge pull request #6687 from psf/dependabot/github_actions/github/codeql-action,0,0,0
60047ade64b0b882cbc94e047198818ab580911e,60047ad,dependabot[bot],2024-04-15 16:40:35,Bump github/codeql-action from 3.24.0 to 3.25.0,3,3,1
31ebb8102c00f8cf8b396a6356743cca4362e07b,31ebb81,Ian Stapleton Cordasco,2024-04-11 14:49:35 -0500,Merge pull request #6682 from frenzymadness/pytest8,0,0,0
cc23d1c6445d61c1e6905cae4861d6e3c3244274,cc23d1c,Lumir Balhar,2024-04-11 21:10:36 +0200,Fix compatibility with pytest 8,2,2,2
0790ea4250bce844734f625a1a8b37d5581fd8cd,0790ea4,Nate Prewitt,2024-04-11 07:10:57 -0700,Merge pull request #6680 from mbeijen/rfc9110,0,0,0
e45b428960ff3927812fc9b555e2ac627ba95769,e45b428,Michiel W. Beijen,2024-04-08 21:47:12 +0200,Add rfc9110 HTTP status code names,4,4,1
2a438c27b5a5828c8ea0dc958112eecffca70b12,2a438c2,Nate Prewitt,2024-04-01 10:36:47 -0700,Merge pull request #6677 from psf/dependabot/github_actions/actions/setup-python,0,0,0
2daa7b52a78984ab5e66358052fc8dfe93e251bd,2daa7b5,dependabot[bot],2024-04-01 17:00:20,Bump actions/setup-python from 5.0.0 to 5.1.0,2,2,2
8dd3b26bf59808de24fd654699f592abf6de581e,8dd3b26,Ian Stapleton Cordasco,2024-03-18 16:38:16 -0500,Merge pull request #6302 from flysee/main,0,0,0
13d892bdbe9a2aa374959a166e8067c35253705d,13d892b,flysee,2024-03-18 22:33:17 +0800,Additional should_bypass_proxies function test cases,33,1,2
1604e20fc87ce212cf3a02474a6d7509b640cbbb,1604e20,flysee,2022-12-07 11:24:22,Fix the proxy_bypass_registry function all returning true in some cases.,2,0,1
eeafb6ab3a54ab01cbf864d452ea30f5fdb67ce8,eeafb6a,Ian Stapleton Cordasco,2024-03-14 06:25:24 -0500,Merge pull request #6662 from sigmavirus24/fix-tls-floppy,0,0,0
a94e9b5308ffcc3d2913ab873e9810a6601a67da,a94e9b5,Ian Stapleton Cordasco,2024-03-13 15:58:45 -0500,Add local TLS server,716,9,30
a58d7f2ffb4d00b46dca2d70a3932a0b37e22fac,a58d7f2,Ian Stapleton Cordasco,2024-03-11 06:21:59 -0500,Merge pull request #6655 from sigmavirus24/fix-tls-floppy,0,0,0
c0813a2d910ea6b4f8438b91d315b8d181302356,c0813a2,Ian Stapleton Cordasco,2024-03-03 07:00:49 -0600,Use TLS settings in selecting connection pool,65,2,3
eea3bbf9ac635f465ee6c9903dc57c677952dafd,eea3bbf,Ian Stapleton Cordasco,2024-02-23 06:26:38 -0600,Merge pull request #6562 from amkarn258/issue-6223,0,0,0
f3f2611d832e762423f55e08899c64224902dad1,f3f2611,Ian Stapleton Cordasco,2024-02-23 05:30:46 -0600,Merge pull request #6583 from EFord36/fix-broken-links,0,0,0
a0e79bad059f2d0e6d3c00a2a7311acb2bef4d67,a0e79ba,Elliot Ford,2023-11-24 11:05:45,update broken rfc link,1,1,1
0a7f662aa70d39b6c3b5c804be00af5731292550,0a7f662,Elliot Ford,2023-11-24 11:04:54,Make example URL format a literal rather than an actual link,1,1,1
5f1c3c22ff7c7bb89a4e017e3f336cbc88e189c3,5f1c3c2,Elliot Ford,2023-11-24 11:04:32,remove section with broken link to survey,0,3,1
541aa80ca3d0ee771611bd155a5172efaa26d9da,541aa80,Elliot Ford,2023-11-24 11:04:16,update urllib3 docs link,1,1,1
d3b3399ece1f76387d323983638e0838c06e88ea,d3b3399,Elliot Ford,2023-11-24 10:44:09,update authors github link,1,1,1
0ec2780c291107b6686996e4b38f3d63e076eda7,0ec2780,Elliot Ford,2023-11-24 10:37:33,update broken github pagination link,1,1,1
b8be93a721792deeadd2f498b8f77cf610e7765f,b8be93a,Ian Stapleton Cordasco,2024-02-22 18:53:25 -0600,Merge pull request #6589 from bruceadams/super_len_str_utf-8,0,0,0
3587a5f869ea7ae2ba6b20d281d810b65aa2418e,3587a5f,Ian Stapleton Cordasco,2024-02-22 18:49:42 -0600,Merge pull request #6644 from sigmavirus24/bug/6643,0,0,0
60389df6d69ce833164696dcf36cbb43336d3426,60389df,Ian Stapleton Cordasco,2024-02-21 19:09:48 -0600,Trim excess leading path separators,11,0,2
382fc2c0c6c0ef0874bc65bc1175f97c073e5086,382fc2c,Nate Prewitt,2024-02-22 12:27:37 -0800,Merge pull request #6629 from Tarty/fix-6628-jsondecode-error-not-deserializable,0,0,0
7a13c041dbef42f9f3feb14110f02626f6892e9a,7a13c04,Nate Prewitt,2024-02-20 15:44:43 -0800,Merge pull request #6642 from nateprewitt/drop_python_37,0,0,0
58cea7a7282999adafdc19a4e82e2d09207ab568,58cea7a,Nate Prewitt,2024-02-20 15:22:20 -0800,Drop support for CPython 3.7,8,10,7
9439fad03848d882f68710fdb3d69eaf02ef21ca,9439fad,Ian Stapleton Cordasco,2024-02-20 17:32:57 -0600,Merge pull request #6641 from nateprewitt/fix_ci,0,0,0
8fa4302322f1a34053683b7f4c0d2ee5ef0ebd64,8fa4302,Nate Prewitt,2024-02-20 15:04:04 -0800,Update Sphinx to work with latest readthedocs requirements,1,1,1
28855fd43a68bf26fec23aa9b548239e13255edf,28855fd,Nate Prewitt,2024-02-20 13:58:26 -0800,Update supported copies of PyPy,1,6,1
5fc10bf1f5185f330f8471c738ce753b3e231008,5fc10bf,Nate Prewitt,2024-02-20 13:37:25 -0800,Fix httpbin pin for test suite,1,1,1
46c1a3d8c83754167280e3479bc3ac43b4900ba6,46c1a3d,Ian Stapleton Cordasco,2024-02-20 14:04:33 -0600,Merge pull request #6640 from nateprewitt/community_docs_cleanup,0,0,0
6106a63eb6c0fa490efa73d44388ac25b1b08af4,6106a63,Nate Prewitt,2024-02-20 11:58:35 -0800,Cleanup defunct links from community docs page,1,13,1
4f3f189d6b7d2a19ff73dfb4a3e39713d4abe01a,4f3f189,Ian Stapleton Cordasco,2024-02-05 20:54:26 -0600,Merge pull request #6632 from psf/dependabot/github_actions/github/codeql-action,0,0,0
a5a0e4b587c7f2de4250ec965caf21b8fca172e0,a5a0e4b,dependabot[bot],2024-02-05 16:38:01,Bump github/codeql-action from 3.23.0 to 3.24.0,3,3,1
3ff3ff21dd45957c9e143cd500291959bb15f690,3ff3ff2,Thomas Dehghani,2024-01-31 17:07:35 +0100,Fix #6628 - JSONDecodeError are not deserializable,20,0,2
96b22fa18c00831656ee4b286bf1c9062459b00a,96b22fa,Ian Stapleton Cordasco,2024-01-08 11:56:01 -0600,Merge pull request #6619 from psf/dependabot/github_actions/github/codeql-action,0,0,0
b0e6c9bf85378acd079ca84a4481f361b47a2147,b0e6c9b,dependabot[bot],2024-01-08 17:01:37,Bump github/codeql-action from 3.22.11 to 3.23.0,3,3,1
72eccc8dd8b7c272e520f22b0256386c80864e94,72eccc8,Ian Stapleton Cordasco,2023-12-23 12:33:48 -0600,Merge pull request #6612 from miketheman/fix-docs-urls,0,0,0
25939d8784dc8bec784b8129152efa4443daa82f,25939d8,Mike Fiedler,2023-12-23 18:15:33,add myself,1,0,1
bfba9dc68c841b78ca51e6302d3283d33167f773,bfba9dc,Mike Fiedler,2023-12-23 18:09:08,docs: replace concrete URLs with references,15,13,4
f23346a9b8e74de01220cce96c037bbd2404a1c6,f23346a,Mike Fiedler,2023-12-23 17:36:34,"Revert ""Merge pull request #6605 from jaikishpai/fix-#6604""",11,11,2
f3f978441916389abcb2f2a72522955d551326e9,f3f9784,Ian Stapleton Cordasco,2023-12-23 11:24:56 -0600,Merge pull request #6613 from miketheman/add-socks-label,0,0,0
b5bd0f14cc6fe12a712d21d7881aab59d0dd9951,b5bd0f1,Mike Fiedler,2023-12-23 17:17:34,docs: add label to socks heading,2,0,1
242d3113c09d10ba9a11dbcc05e0310a1e7568af,242d311,Mike Fiedler,2023-12-23 16:16:50,docs: specify sphinx dirhtml builder,1,0,1
1396eb6f7a1116d49f1f0df0ddf895343f84af64,1396eb6,Nate Prewitt,2023-12-19 22:17:55 -0800,Merge pull request #6605 from jaikishpai/fix-#6604,0,0,0
e4c821a24778c3a33beec2aa86f3d58e3d94b58c,e4c821a,Nate Prewitt,2023-12-18 09:30:42 -0800,Merge pull request #6607 from psf/dependabot/github_actions/github/codeql-action,0,0,0
421b1f175766065e2feb569990c528df16c2874f,421b1f1,dependabot[bot],2023-12-18 16:39:47,Bump github/codeql-action from 2.22.1 to 3.22.11,3,3,1
1447bccc057e7fbffdfecd75cd4922702489a14b,1447bcc,Jaikish Pai,2023-12-17 22:34:30 +0100,fix for ##6604,11,11,2
3b5978fc5d1c121d70e83ddf59379cf36418b4ce,3b5978f,Ian Stapleton Cordasco,2023-12-16 14:24:02 -0600,Merge pull request #6592 from atatuzuner61/bug/6584,0,0,0
1ddf014f477c322197400c365aef9fab56e25e40,1ddf014,Ian Stapleton Cordasco,2023-12-16 07:30:18 -0600,Merge pull request #6600 from MestreLion/MestreLion-connection-timeout-note,0,0,0
92f9e431c99d5e0776a00c10a90dfdf11cd45ba0,92f9e43,Ian Stapleton Cordasco,2023-12-16 07:29:50 -0600,Update docs/user/advanced.rst,6,0,1
951dd15fa619b23aba6b72532f1aac30b69389b7,951dd15,Ian Stapleton Cordasco,2023-12-16 07:26:23 -0600,Update docs/user/advanced.rst,6,6,1
51d0d83eaf7cd82526443424f61f7b5cfad82cde,51d0d83,Ian Stapleton Cordasco,2023-12-16 07:24:37 -0600,Merge pull request #6603 from nsoranzo/rtd_config,0,0,0
c7c2ebf1a7b4b0f4149b3935b781e1392015e2d6,c7c2ebf,Nicola Soranzo,2023-12-15 20:59:51,Add now mandatory readthedocs config file,28,0,1
a64f32ba453bc19aa679018838bee8ef8cc9a68b,a64f32b,Rodrigo Silva,2023-12-13 10:05:12 -0300,Add note on connection timeout being larger than specified. Fix #5773,8,0,1
a25fde6989f8df5c3d823bc9f2e2fc24aa71f375,a25fde6,Nate Prewitt,2023-12-11 08:11:07 -0800,Merge pull request #6599 from psf/dependabot/github_actions/actions/setup-python,0,0,0
